Repo Name,Stars,Watches,Forks,Issues,Issues (Internal),Issues (External),Open Issues,Stale Issues (No activity for >14 days),% Stale Issues,Old Issues (Open for >120 days),% Old Issues,% Issues Closed by Pull Request,Average Issue Open Time (Days),Pull Requests,Pull Requests (Internal),Pull Requests (External),Open Pull Requests,Average Pull Request Time to Merge (Days),Contributors (All Time),Contributors (All Time - Internal),Contributors (All Time - External),Issues Opened,Issues Opened (Internal),Issues Opened (External),Issues Opened (First Time Contributor),Issues Closed,Pull Requests Opened,Pull Requests Opened (Internal),Pull Requests Opened (External),Pull Requests Opened (First Time Contributor),Pull Requests Merged,Pull Requests Closed,Contributors (This Period),Contributors (This Period - Internal),Contributors (This Period - External),Contributors (This Period - First Time Contributor)
carma-cohda-dsrc-driver,12,9,10,4,1,3,1,1,100%,1,100%,0%,271,118,57,61,1,4,24,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-web-ui,4,10,4,6,2,4,0,0,N/A,0,N/A,33%,65,160,112,48,0,4,19,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-delphi-esr-driver,5,9,2,2,0,2,1,1,100%,1,100%,0%,2,61,39,22,0,3,13,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-delphi-srr2-driver,0,9,0,1,0,1,0,0,N/A,0,N/A,0%,2,64,35,29,1,3,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avt_vimba_camera,3,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,101,46,55,0,6,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-vehicle-model-framework,6,10,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,66,37,29,0,3,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novatel_gps_driver,1,5,4,0,0,0,0,0,N/A,0,N/A,N/A,N/A,110,40,70,0,3,15,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-velodyne-lidar-driver,0,9,2,2,0,2,0,0,N/A,0,N/A,50%,0,115,56,59,0,3,19,11,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.ai,5,7,13,2,1,1,2,2,100%,2,100%,N/A,N/A,267,126,141,2,3,25,13,12,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
carma-ssc-interface-wrapper,2,15,7,7,3,4,2,2,100%,2,100%,20%,12,152,61,91,2,3,20,10,10,0,0,0,0,0,2,2,0,0,3,0,1,1,0,0
carma-base,1,15,6,8,0,8,0,0,N/A,0,N/A,38%,9,218,96,122,2,2,27,14,13,0,0,0,0,0,11,10,1,0,10,0,3,2,1,0
carma-config,4,13,11,9,3,6,2,2,100%,2,100%,29%,10,398,273,125,6,3,30,16,14,0,0,0,0,0,10,10,0,0,8,2,5,5,0,0
carma-garmin-lidar-lite-v3-driver-wrapper,1,9,2,1,0,1,0,0,N/A,0,N/A,0%,0,86,42,44,0,5,14,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-messenger,14,11,11,17,15,2,5,5,100%,5,100%,17%,17,233,165,65,1,5,27,14,13,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
carma-1-tenth,12,12,6,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
opendrive2lanelet,30,4,9,0,0,0,0,0,N/A,0,N/A,N/A,N/A,24,16,8,2,5,11,6,5,0,0,0,0,0,2,2,0,0,1,1,1,1,0,0
carma-lightbar-driver,2,10,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,77,48,29,0,4,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-rtk,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carla-simulation,0,2,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cdasim,38,16,13,25,12,13,15,15,100%,15,100%,50%,22,210,148,62,5,12,27,13,14,0,0,0,0,0,2,2,0,0,4,0,1,1,0,0
ads-traffic-regs,3,13,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,1,N/A,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cav-education,3,9,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,21,17,4,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-analytics-fotda,3,11,3,3,3,0,2,2,100%,2,100%,0%,9,97,73,24,2,3,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-validation,0,8,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-streets,10,7,10,173,169,4,48,48,100%,48,100%,2%,78,256,239,16,1,5,13,9,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mosaic,0,2,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sumo,0,2,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_vesc_driver,0,6,0,2,0,2,0,0,N/A,0,N/A,0%,1,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_razor_imu_m0_driver,0,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_rplidar_driver,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t_zed_driver,0,6,0,1,0,1,0,0,N/A,0,N/A,0%,3,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arena_camera_ros,0,1,0,1,0,1,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-mobileye-driver,0,6,0,1,0,1,1,1,100%,1,100%,N/A,N/A,0,0,0,0,N/A,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autoware.auto,3,7,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,33,23,10,0,4,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tim-bc,0,6,0,2,2,0,0,0,N/A,0,N/A,0%,93,23,19,4,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-novatel-oem7-driver-wrapper,1,7,0,2,2,0,1,1,100%,1,100%,100%,0,33,27,6,0,4,10,8,2,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
voices-cda-use-case-scenario-database,0,7,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
voices-poc,0,9,1,1,1,0,0,0,N/A,0,N/A,0%,0,25,21,4,1,25,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ros1_bridge,1,1,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,30,19,11,2,106,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
testing-training-tools,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cda-telematics,1,6,1,88,80,8,16,16,100%,16,100%,1%,45,177,147,22,1,3,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-carla-integration,2,11,2,18,13,5,9,9,100%,9,100%,67%,29,59,45,14,1,6,12,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
github_metrics,0,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,17,5,12,3,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-message-filters,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,5,4,1,0,9,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rosbridge_suite,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c2c-ri,0,2,2,14,10,4,0,0,N/A,0,N/A,0%,15,27,25,2,0,3,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
devops,1,6,2,458,338,120,405,405,100%,119,29%,8%,62,11,8,3,1,21,8,4,4,208,208,0,0,3,2,2,0,0,1,1,1,1,0,0
documentation,0,4,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dwm1001_ros2,1,4,3,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1t-tools,0,4,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
multiple_object_tracking,12,7,4,81,0,81,6,6,100%,6,100%,77%,12,73,15,58,0,5,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
v2x-emulator,1,6,1,2,1,1,2,2,100%,2,100%,N/A,N/A,12,12,0,1,5,6,5,1,0,0,0,0,0,2,2,0,0,1,0,2,2,0,0
carma-builds,0,7,1,2,0,2,2,2,100%,2,100%,N/A,N/A,36,16,20,1,3,6,3,3,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
.github,0,8,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,3,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stol-j2735,0,8,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,11,6,5,0,3,4,3,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
snmp-client,3,8,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,12,1,11,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actions,0,8,0,4,3,1,4,4,100%,4,100%,N/A,N/A,48,26,22,5,1,7,4,3,0,0,0,0,0,2,2,0,0,2,0,1,1,0,0
carma-time-lib,1,7,3,4,4,0,1,1,100%,1,100%,0%,64,26,18,8,0,4,3,2,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
cavams,0,8,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-ns3-adapter,0,6,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,25,24,1,0,15,8,7,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
voices-common-interface,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rosbag2,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,3,3,0,0,9,2,2,0,0,0,0,0,0,2,2,0,0,1,1,1,1,0,0
novatel_oem7_driver,0,1,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ns3-federate,0,6,0,1,1,0,1,1,100%,1,100%,N/A,N/A,10,10,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ns-3_c-v2x,0,6,1,0,0,0,0,0,N/A,0,N/A,N/A,N/A,4,4,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-geodetic-lib,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,2,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ros2_tracing,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tracetools_analysis,0,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,1,1,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma-slamtec-lidar-driver,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,2,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carma_ament_lint,0,1,0,4,0,4,0,0,N/A,0,N/A,100%,0,4,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scenario-runner,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,8,8,0,0,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carla-sensor-lib,0,6,1,7,3,4,5,5,100%,5,100%,0%,109,13,12,1,0,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cave-lite,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,4,4,0,0,5,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
j2735decoder,4,4,1,1,0,1,1,1,100%,1,100%,N/A,N/A,1,0,1,1,N/A,2,0,2,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1
vesc,1,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,3,2,1,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stol-scratchpad,0,4,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cda1tenth-bringup,0,6,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,50,45,5,2,4,6,5,1,0,0,0,0,0,4,4,0,0,3,0,1,1,0,0
connectedvcs-tools,0,6,4,2,2,0,2,2,100%,2,100%,N/A,N/A,76,76,0,0,2,8,8,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0
navigation2,0,1,0,1,1,0,0,0,N/A,0,N/A,100%,0,4,2,2,0,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
usdot-asn1c,2,2,0,2,0,2,2,1,50%,1,50%,N/A,N/A,0,0,0,0,N/A,2,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
navigation2-extensions,7,7,2,0,0,0,0,0,N/A,0,N/A,N/A,N/A,22,20,2,0,5,5,4,1,0,0,0,0,0,2,2,0,0,1,0,1,1,0,0
twist_to_ackermann,0,3,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,2,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robot_localization,0,0,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To-21-426-modeling-HV-interactions-with-inconspicuous-ACC-equipped-vehicles,1,1,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
To-21-426-multivariate-piecewise-linear-ACC-car-following-model,0,5,0,0,0,0,0,0,N/A,0,N/A,N/A,N/A,0,0,0,0,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,648,662,316,2142,1306,836,818,816,100%,530,65%,18%,78,5653,3448,2187,57,5,98,36,63,209,208,1,0,3,58,56,2,1,50,6,15,12,3,1
